H.P,ML.PACo.resid,ML.PACo.median,ML.PACo.1.5IQR,ML.ParaFit.F1,ML.ParaFit.p,ML.ParaFit.sig,ML.overlap.PACo.resid,ML.overlap.PACo.median,ML.overlap.PACo.1.5IQR,ML.overlap.ParaFit.F1,ML.overlap.ParaFit.p,ML.overlap.ParaFit.sig,BEAST.PACo.resid,BEAST.PACo.median,BEAST.PACo.1.5IQR,BEAST.ParaFit.F1,BEAST.ParaFit.p,BEAST.ParaFit.sig,BEAST.overlap.PACo.resid,BEAST.overlap.PACo.median,BEAST.overlap.PACo.1.5IQR,BEAST.overlap.ParaFit.F1,BEAST.overlap.ParaFit.p,BEAST.overlap.ParaFit.sig,Carrier
Miniopterus.natalensis-HM545140,0.061140269,0,1,0.050970287,0.00529947,1,0.391887737,0,1,0.276814814,0.00019998,1,0.090681492,1,1,0.114262163,0.00039996,1,0.411643627,0,1,-0.029136368,0.878912109,0,bat
Hipposideros.larvatus-KP100355,0.053212539,0,1,0.050339475,0.00159984,1,0.458937449,0,1,0.350928009,9.999E-05,1,0.121346436,0,1,0.402182886,9.999E-05,1,0.345807113,0,1,0.612841998,9.999E-05,1,bat
Phyllostomus.hastatus-HM597198,0.021186738,1,1,0.103426571,0.00049995,1,0.217506082,1,1,0.831552339,9.999E-05,1,0.046783918,1,1,0.270435072,9.999E-05,1,0.219144912,1,1,0.6594199,9.999E-05,1,bat
Phyllostomus.hastatus-JQ071387,0.021070709,1,1,0.104026448,0.00049995,1,0.21797833,1,1,0.836661475,9.999E-05,1,0.046783918,1,1,0.270435072,9.999E-05,1,0.219144912,1,1,0.6594199,9.999E-05,1,bat
Artibeus.toltecus-HM597197,0.065974069,0,1,0.119729618,0.00019998,1,0.528026626,0,1,-0.024794101,0.912108789,0,0.120794802,0,1,0.261447722,9.999E-05,1,0.565792356,0,0,-0.036001391,0.884211579,0,bat
Phyllostomus.hastatus-JQ071388,0.024170988,1,1,0.102042149,0.00049995,1,0.226978468,1,1,0.81289374,9.999E-05,1,0.049992425,1,1,0.27018753,9.999E-05,1,0.22413605,1,1,0.65749388,9.999E-05,1,bat
Desmodus.rotundus-JQ071378,0.050342781,0,1,0.09947222,0.00029997,1,0.244499455,1,1,0.769968173,9.999E-05,1,0.147456994,0,1,0.215428232,9.999E-05,1,0.269892845,1,1,0.62692934,9.999E-05,1,bat
Vampyressa.bidens-JQ071389,0.032332858,1,1,0.093680926,0.00049995,1,0.283647624,1,1,0.530277674,9.999E-05,1,0.104215277,0,1,0.257980787,9.999E-05,1,0.301704858,0,1,0.438681723,9.999E-05,1,bat
Diaemus.youngi-JX416251,0.033638677,1,1,0.09627244,0.00069993,1,0.239834407,1,1,0.814991025,9.999E-05,1,0.09388598,0,1,0.206603422,9.999E-05,1,0.236902758,1,1,0.631341489,9.999E-05,1,ectoparasite
Rhinolophus.acuminatus-KP100351,0.021839469,1,1,0.143464412,9.999E-05,1,0.188639506,1,1,0.949540397,9.999E-05,1,0.087189345,1,1,0.46304978,9.999E-05,1,0.170187391,1,1,0.68810278,9.999E-05,1,bat
Rhinolophus.acuminatus-KP100342,0.021564087,1,1,0.144442321,0.00019998,1,0.181879564,1,1,0.957360402,9.999E-05,1,0.087189345,1,1,0.46304978,9.999E-05,1,0.170187391,1,1,0.68810278,9.999E-05,1,bat
Rhinolophus.acuminatus-KP100345,0.021330003,1,1,0.145242304,9.999E-05,1,0.175463562,1,1,0.963443534,9.999E-05,1,0.087205452,1,1,0.463042191,9.999E-05,1,0.170287344,1,1,0.688080322,9.999E-05,1,bat
Rhinolophus.acuminatus-KP100349,0.021082531,1,1,0.145794082,0.00019998,1,0.168137208,1,1,0.971878597,9.999E-05,1,0.087237208,1,1,0.463052739,9.999E-05,1,0.170856505,1,1,0.688002075,9.999E-05,1,bat
Rhinolophus.acuminatus-KP100340,0.021071018,1,1,0.145831299,0.00019998,1,0.167769487,1,1,0.972234271,9.999E-05,1,0.087237208,1,1,0.463052739,9.999E-05,1,0.170856505,1,1,0.688002075,9.999E-05,1,bat
Rhinolophus.sinicus-KP100344,0.041346121,0,1,0.14048467,0.00019998,1,0.822515862,0,0,0.361879768,0.00409959,1,0.121799751,0,1,0.461045147,9.999E-05,1,0.823968207,0,0,0.318320444,0.00039996,1,bat
Hipposideros.larvatus-KP100360,0.034207558,1,1,0.132138014,9.999E-05,1,0.339718727,0,1,0.816312238,9.999E-05,1,0.076838678,1,1,0.472302377,9.999E-05,1,0.256798448,1,1,0.739017705,9.999E-05,1,bat
Hipposideros.armiger-KP100360,0.034934655,1,1,0.132325768,0.00019998,1,0.44310184,0,1,0.693417098,9.999E-05,1,0.07397015,1,1,0.471654636,9.999E-05,1,0.390601656,0,1,0.646336998,9.999E-05,1,bat
Hipposideros.larvatus-KP100354,0.034050311,1,1,0.127585475,0.00019998,1,0.338134638,0,1,0.795318396,9.999E-05,1,0.07684595,1,1,0.472298234,9.999E-05,1,0.256816116,1,1,0.739011146,9.999E-05,1,bat
Hipposideros.diadema-JX416238,0.024385956,1,1,0.113913256,0.00029997,1,0.362884256,0,1,0.601516362,9.999E-05,1,0.067583605,1,1,0.467912716,9.999E-05,1,0.323138813,0,1,0.530317668,9.999E-05,1,ectoparasite
Triaenops.persicus-HM545138,0.03409886,1,1,0.124671596,0.00049995,1,0.416809602,0,1,0.346783901,0.0049995,1,0.060526502,1,1,0.424625328,9.999E-05,1,0.477480734,0,1,0.217047428,0.00739926,1,bat
